Product Name,ASIN,Price
"Portronics Dash 3 16W Bluetooth Speaker with Wireless Karaoke Mic, 5 Hours Playtime, Multicolor RGB Lights, 3 EQ Modes, 5 Voice Effects, AUX in, BT5.3v, Micro SD Card, Type C Charging Port(Black)",B0CM3DZD7Q,"₹1,999.00"
"Tribit [Upgraded Version XSound Go Wireless Bluetooth 5.0 Speakers with Loud Stereo Sound & Rich Bass 16W,24H Playtime,100 ft Bluetooth Range,Outdoor Lightweight IPX7 Waterproof,Built-in Mic (Black)",B078S4P3J9,"₹3,099.00"
"amazon basics 2 X 3W Multimedia PC Gaming Speaker with Aux Connectivity, USB Support, Volume Control, and RGB Lights",B0C14TQFQM,₹599.00
INEFABLE Mini Boost 4 Bluetooth Speaker 4D Mini Electroplating Round Steel Speaker - Multicolor - Pack of 1,B0CYXXLLFB,₹389.00
"JBL Clip 4, Wireless Ultra Portable Bluetooth Speaker, Pro Sound, Integrated Carabiner, Vibrant Colors with Rugged Fabric Design, Dust & Waterproof, Type C (without Mic, Black & Orange)",B08VN7GW9J,"₹4,499.00"
"pTron Fusion Smart 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 10Hrs Playtime, RGB Lights, Voice Effects, Multi-Play Modes BT5.3/TF Card/USB & Type C Fast Charging Port (Pink)",B0CTR4BXK7,"₹1,199.00"
"Zebronics Zeb-Warrior 2.0 Multimedia Speaker With Aux Connectivity,USB Powered And Volume Control",B07ZZBYWKF,₹699.00
"Portronics Dash 4 50W Wireless Bluetooth Party Speaker with Karaoke Mic, Upto 6 Hours Playtime, HD Sound, Bass Boost Technology, EQ Modes, 360° RGB Lights, BT 5.3v, AUX in, Type C Charging(Black)",B0CNXW42H8,"₹5,498.00"
Artis BT12 Classic Retro Wireless BT Speaker with FM/USB/AUX in & Hands Free Calling (5W RMS Output),B07RMHXKMK,"₹1,299.00"
"amazon basics 2.0 Multimedia Speaker for PC | 3.5 mm Aux-in | 2x3W | for PC, Laptop, Tablet",B0C7ZZ9DBC,₹549.00
"amazon basics X20G 16W Bluetooth Soundbar with 2000mAh Battery | 2X Bass | Up to 7 hrs of Playback | RGB Lights | Bluetooth 5.3, Aux & USB Connectivity (Black)",B0CTTPNDJ8,₹989.00
"JBL Partybox 110, Wireless Bluetooth Party Speaker, 160W Monstrous Pro Sound, Dynamic Light Show, Upto 12Hrs Playtime, Built-in Powerbank, Guitar & Mic Input, PartyBox App, Splashproof (Black)",B09JVCT78G,"₹26,999.00"
"amazon basics Bluetooth Speaker 5.3 Soundbar with 16W RMS, 2000mAh Battery, Upto 19 Hrs Playtime Aux/USB Port (Black)",B0BLNKY3NR,₹749.00
"SYVO Soul 100 Bluetooth 5.0 Wireless IPX4 Super Bass, HD Sound, Aluminium Alloy Portable 3W Bluetooth Speaker with Mic (Black)",B08398QPWX,₹499.00
TRONICA PS07 Premium Series 7.1 Digital 60W Bluetooth Home Theater System PenDrive FM Aux TV Compatible with All Function Remote,B0BQTYSF7W,"₹3,014.00"
"boAt Stone 352 Pro Bluetooth Speaker w/ 14W Signature Sound, Up to 12hrs Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface(Raging Black)",B0D6W7F7WH,"₹1,799.00"
"amazon basics 2.0 Multimedia Speaker for PC | 3.5 mm Aux-in | 2x3W | for PC, Laptop, Tablet",B0C7ZZ9DBC,₹549.00
"boAt Stone Spinx Pro Bluetooth Speaker with 20 W RMS Sound, Up to 8 hrs of Playtime, BTv5.0, Built-in Mic, RGB LEDs, TWS Feature, TF Card, AUX Port & USB Type-C Port(Midnight Black)",B0CVQ75VM2,"₹2,999.00"
"boAt Aavante Bar Groove Bluetooth 2.0 Channel Soundbar with 16 W RMS Output, Multiple Connectivity Modes, Up to 6 hrs Playtime, Bluetooth v5.0 & USB Type-C Port(Premium Black)",B0CBRPNWH1,"₹1,599.00"
"pTron Fusion Beats V2 40W Karaoke Bluetooth Party Speaker with Loud & Clear Stereo Sound, Vivid RGB Lights, 3 mtr Wired Mic, BT/USB/SD Card Playback, Portable Speaker & Type C Charging (Royal Black)",B0D87CJ7WX,"₹1,499.00"
"boAt Stone 352 Pro Bluetooth Speaker w/ 14W Signature Sound, Up to 12hrs Playback, RGB LEDs, TWS Feature, Built-in Mic, BTv5.3, AUX Port, IPX5 & Type-C Interface(Raging Black)",B0D6W7F7WH,"₹1,799.00"
"boAt Stone 352 Bluetooth Speaker with 10W RMS Stereo Sound, IPX7 Water Resistance, TWS Feature, Up to 12H Total Playtime, Multi-Compatibility Modes and Type-C Charging(Raging Black)",B0BYZ26QGB,"₹1,299.00"
"amazon basics 5W Bluetooth 5.3 Speaker, Upto 36 Hrs Playtime, True Wireless Technology, Built in Mic, Multiple Connectivity Modes (Black)",B0BLNMXT67,₹599.00
"pTron Fusion Smart 10W Mini Bluetooth Speaker with Wireless Karaoke Mic, 10Hrs Playtime, RGB Lights, Voice Effects, Multi-Play Modes BT5.3/TF Card/USB & Type C Fast Charging Port (Blue)",B0CTR6F1MZ,"₹1,199.00"
"JBL Partybox 110, Wireless Bluetooth Party Speaker, 160W Monstrous Pro Sound, Dynamic Light Show, Upto 12Hrs Playtime, Built-in Powerbank, Guitar & Mic Input, PartyBox App, Splashproof (Black)",B09JVCT78G,"₹26,999.00"
ZEBRONICS Zeb Wonderbar 10 USB Powered 2.0 Computer Speaker with RGB Lights,B08K9PX15C,₹699.00
"boAt Partypal 185 Speaker with 50 W Signature Sound, Up to 6 hrs Playtime, TWS Mode, Bluetooth v5.0, AUX Port, & USB Type-C Port(Midnight Black)",B0CG5ZPX62,"₹5,498.00"
"Philips Audio MMS2625B 2.1 Channel, Bluetooth connectivity, Wired Multimedia Computer Speaker - Black",B07W41VQ91,"₹1,732.00"
"INVICTO TG113 Portable Bluetooth Speaker with USB/Micro SD Card/AUX/Mic Multimedia Speaker System Super Bass Compatible with Android, iOS & Windows Devices(Army)",B09QCW6JFK,₹299.00
"Sony MHC-V13 High-Power Party Speaker with Bluetooth connectivity (Jet bass Booster,Mic/Guitar, USB, CD, Music Center app)",B08FMTSH1K,"₹18,990.00"
"Tribit StormBox Mini 12W 5.4 Bluetooth Wireless Speaker,360°Surround Sound,Built-in XBass,LED Lights,12H Playtime,IPX7 Waterproof,Wireless Stereo Pairing,Type-C,Portable for Home/Outdoor/Travel Black",B0D4Z148NG,"₹2,799.00"
"LENRUE A15 Portable 5.0 Bluetooth Speaker, IPX7 Waterproof, 16W Loud Sound, Bass Up Function, 24H Playtime, Wireless Stereo Pairing, Hands-Free, Essential for Indian Celebrations/Outdoor/Home/Travel",B08P592ST2,"₹2,549.00"
amazon basics Multimedia Speaker | USB Powered | Wired Desktop Speakers with Powerful Bass | Built-in Subwoofer (Black),B0CY2RPSFN,₹899.00
"ZEBRONICS ZEB-SOUND FEAST 500 Bluetooth 5.0 portable speaker with 70W, 9H* backup, TWS, IPX5 waterproof, Call function, RGB lights, AUX, mSD, Voice assistant, type C and Grill finish",B098JVB1WD,"₹4,300.00"
"GOVO Gosurround 220 16W Bluetooth Sound Bar, 2000 Mah Battery, 2.0 Channel with 52Mm Drivers, Multicolor Led Lights with TWS, Aux, Bluetooth and USB (Platinum Black), Soundbar",B0CC9RR41T,₹899.00
